from;to;Datum;Wertung
Verschwörungstheorien;Obama;04.03.2017;negativ
Politik;British Roayale Family;01.10.2025;positiv
Außenpolitik;Vladimir Putin;19.05.2025;positiv
Innenpolitik;Elon Musk;31.05.2025;positiv
Familie;Eric Trump;14.10.2025;positiv
Innenpolitik;Obama;15.02.2017;negativ
